username;date;retweets;favorites;text;geo;mentions;hashtags;id;"permalink
";location
P0TUSTrump;2016-03-14 19:09;203;327;"""We're going to win in a BIG way tomorrow. I have a GREAT feeling! God Bless you and God Bless the U.S.A.!!!! #MakeAmericaGreatAgain""";New York, USA;;#MakeAmericaGreatAgain;"""709562203465093120""";"https://twitter.com/P0TUSTrump/status/709562203465093120
";(40.7305991, -73.9865811)
DanScavino;2016-03-14 19:00;1081;1677;"""""The same people who said that I would never run- are now asking how to stop me."" @realDonaldTrump #VoteTrump #MakeAmericaGreatAgain""";Manhattan, NY;@realDonaldTrump;#VoteTrump #MakeAmericaGreatAgain;"""709559935701540864""";"https://twitter.com/DanScavino/status/709559935701540864
";(40.7902778, -73.9597221)
realDonaldTrump;2016-03-14 18:11;13274;22853;"""Sadly, this kind of stuff even happened to Ronald Reagan. There is nothing nice about it! #MakeAmericaGreatAgain pic.twitter.com/jC7cn1v18u""";New York, NY;;#MakeAmericaGreatAgain;"""709547482615816192""";"https://twitter.com/realDonaldTrump/status/709547482615816192
";(40.7305991, -73.9865811)
trump_world;2016-03-14 14:50;8;7;"""""MERKEL PAYS PRICE OF OPEN BORDERS "" @realDonaldTrump #Trump2016 #MakeAmericaGreatAgain #Trump #Yuge http:// ow.ly/ZqEfA""";Manhattan, New York;@realDonaldTrump;#Trump2016 #MakeAmericaGreatAgain #Trump #Yuge;"""709496928996892672""";"https://twitter.com/trump_world/status/709496928996892672
";(40.7902778, -73.9597221)
EricTrump;2016-03-14 14:43;2495;5474;"""Caught a glimpse of this great Trump fan driving past Maralago. Thanks for your support! #MakeAmericaGreatAgain pic.twitter.com/BOdcv58DwA""";;;#MakeAmericaGreatAgain;"""709495303670513666""";"https://twitter.com/EricTrump/status/709495303670513666
";
vrijhandel;2016-03-14 13:52;0;0;"""Het meest favoriete liedje van @realDonaldTrump : https://www. youtube.com/watch?v=j03Cdh Bjgw8 #MakeAmericaGreatAgain Maar @CarlyFiorina wordt president...""";;@realDonaldTrump @CarlyFiorina;#MakeAmericaGreatAgain;"""709482265437478912""";"https://twitter.com/vrijhandel/status/709482265437478912
";
Rockprincess818;2016-03-14 10:13;251;259;"""Letters From Former Cruz Voters Switching To Trump BRUTAL. #MakeAmericaGreatAgain http:// redstatewatcher.com/article.asp?id =10529 """;Los Angeles, CA;;#MakeAmericaGreatAgain;"""709427316271648768""";"https://twitter.com/Rockprincess818/status/709427316271648768
";(34.0543942, -118.2439408)
realDonaldTrump;2016-03-14 09:59;5726;13195;"""Kasich has helped decimate the coal and steel industries in Ohio. I will bring them back! #MakeAmericaGreatAgain""";New York, NY;;#MakeAmericaGreatAgain;"""709423812681531392""";"https://twitter.com/realDonaldTrump/status/709423812681531392
";(40.7305991, -73.9865811)
NYC4TRUMP2016;2016-03-14 08:15;75;105;"""This is great.... #Trump2016 #MakeAmericaGreatAgain pic.twitter.com/qcMHh3MaVQ""";New York, NY;;#Trump2016 #MakeAmericaGreatAgain;"""709397641042501632""";"https://twitter.com/NYC4TRUMP2016/status/709397641042501632
";(40.7305991, -73.9865811)
volkskrant;2016-03-14 07:28;7;4;"""De Trump Votewiser, voor Trump-stemmers die niet weten welke Trump ze eigenlijk steunen #MakeAmericaGreatAgain http://www. volkskrant.nl/kijkverder/201 6/trump/ """;Amsterdam;;#MakeAmericaGreatAgain;"""709385611224944641""";"https://twitter.com/volkskrant/status/709385611224944641
";(52.374436, 4.8979956033677)
LindaSuhler;2016-03-14 05:35;247;228;"""Copy & share with everyone! And please VOTE #Trump2016 #MakeAmericaGreatAgain http:// tinyurl.com/zsuykcx pic.twitter.com/nEBKJ23cww""";God Bless America!;;#Trump2016 #MakeAmericaGreatAgain;"""709357214079787008""";"https://twitter.com/LindaSuhler/status/709357214079787008
";(40.40383, -77.9464459)
realNCTrump2016;2016-03-14 03:28;100;136;"""These students are on the #TrumpTrain waiting to see @realDonaldTrump in Hickory! #MakeAmericaGreatAgain pic.twitter.com/cnJYw8rpz5""";;@realDonaldTrump;#TrumpTrain #MakeAmericaGreatAgain;"""709325384555352064""";"https://twitter.com/realNCTrump2016/status/709325384555352064
";
